requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,498,50,50,0,138.91,24877,49988,0.36,179.08,538.94,2777.76,2777.97,2779.51,2780.54,2799.86,2768.24,2817.81,54.14,53.33,54.83,55.25,73.71,5.48,5.46,5.62,5.64,5.73,0.0,184.8,0.0,,
1,10000,500,0,1,10000,497,50,50,0,183.34,24837,499994,0.27,135.47,2862.54,3666.29,3660.13,3663.17,3663.97,3830.25,3652.77,3986.67,345.68,339.16,341.18,341.57,509.51,6.69,6.67,6.86,6.88,6.91,0.0,184.8,0.0,,
8,1000,500,0,8,1000,497,50,50,0,29.84,24868,49993,1.68,833.5,2509.12,4399.48,4342.63,5099.48,5102.08,5104.13,3106.08,5104.4,287.47,184.99,873.02,909.06,910.56,8.27,8.35,8.56,8.63,8.74,0.0,184.8,0.0,,
8,10000,500,0,8,10000,499,50,50,0,48.68,24928,499994,1.03,512.12,10783.95,7289.32,7222.22,7694.53,8281.83,8776.97,4999.67,8903.48,1229.92,1249.72,1476.26,2330.43,2765.03,12.16,12.15,13.13,13.54,13.72,0.0,184.8,0.0,,
