requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,496,50,50,0,145.07,24792,49992,0.34,170.9,515.51,2900.9,2900.02,2902.18,2902.98,2919.14,2896.6,2933.34,53.78,53.15,54.45,55.01,71.12,5.74,5.75,5.85,5.87,5.93,0.0,164.8,0.0,,
1,10000,500,0,1,10000,498,50,50,0,189.02,24884,499995,0.26,131.65,2776.87,3779.78,3773.16,3776.19,3777.69,3938.57,3762.33,4091.02,337.62,331.34,332.64,333.21,493.38,6.92,6.91,7.05,7.08,7.11,0.0,164.8,0.0,,
8,1000,500,0,8,1000,497,50,50,0,144.57,24872,49995,0.35,172.04,517.85,21514.18,23106.37,23159.92,23161.44,23188.54,2948.47,23213.77,18671.14,20266.05,20312.45,20314.28,20341.05,5.72,5.71,5.83,5.85,5.92,0.0,164.8,0.0,,
8,10000,500,0,8,10000,496,50,50,0,188.44,24815,499993,0.27,131.69,2785.05,28038.7,30085.84,30094.37,30095.94,30281.8,4138.45,30459.96,24596.17,26643.46,26652.03,26653.12,26840.11,6.94,6.91,7.1,7.14,7.25,0.0,164.8,0.0,,
