requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,495,50,50,0,138.6,24727,49989,0.36,178.41,539.09,2771.46,2770.19,2773.25,2776.78,2793.7,2767.67,2809.77,53.38,52.71,54.5,54.57,70.18,5.5,5.5,5.64,5.75,5.77,0.0,174.8,0.0,,
1,10000,500,0,1,10000,497,50,50,0,183.54,24832,499992,0.27,135.29,2859.42,3670.28,3656.21,3660.01,3662.06,4028.24,3647.5,4377.56,352.33,337.67,339.53,340.14,709.99,6.68,6.67,6.82,6.87,6.97,0.0,174.8,0.0,,
8,1000,500,0,8,1000,498,50,50,0,30.48,24923,49993,1.64,817.56,2457.49,4496.2,4361.28,5451.58,5451.86,5452.46,3165.22,5452.57,370.59,186.27,1378.04,1378.87,1379.54,8.28,8.34,8.58,8.6,8.83,0.0,174.8,0.0,,
8,10000,500,0,8,10000,498,50,50,0,48.0,24894,499992,1.04,518.57,10934.05,7212.13,7216.6,7596.1,8269.0,8764.18,4297.71,8890.13,1202.38,1254.33,1459.18,2313.8,2748.34,12.07,12.02,13.1,13.37,13.54,0.0,174.8,0.0,,
