requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,497,50,50,0,204.41,24855,49992,0.24,121.59,366.16,4087.8,4120.67,4194.84,4216.1,4261.71,3801.67,4285.97,52.17,51.55,53.09,53.36,70.67,8.12,8.12,8.32,8.38,8.46,0.0,254.9,0.0,1.58,28.9
1,10000,500,0,1,10000,495,50,50,0,255.3,24746,499990,0.2,96.93,2055.39,5105.37,5119.76,5235.61,5295.51,5375.17,4792.26,5407.04,353.98,347.34,349.11,349.66,515.44,9.6,9.62,9.93,9.95,10.04,0.0,254.9,0.0,1.58,28.9
8,1000,500,0,8,1000,497,50,50,0,42.39,24871,49991,1.18,586.77,1766.18,6231.23,6327.89,6510.66,6593.54,6741.23,4601.9,6812.83,83.13,57.44,226.0,228.13,229.85,12.36,12.44,13.01,13.11,13.21,0.0,254.9,0.0,1.58,28.9
8,10000,500,0,8,10000,499,50,50,0,67.2,24931,499992,0.74,371.0,7811.42,10124.61,10103.98,11526.26,11879.95,12470.27,5740.78,12857.15,738.99,533.67,1446.81,2334.08,2816.06,18.82,19.21,21.2,21.45,21.88,0.0,254.9,0.0,1.58,28.9
