requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,497,50,50,0,139.48,24855,49991,0.36,178.2,536.62,2789.07,2771.91,2779.51,2779.88,3166.71,2769.59,3536.08,68.74,53.58,55.15,55.31,440.45,5.47,5.48,5.57,5.6,5.68,0.0,244.8,0.0,,
1,10000,500,0,1,10000,497,50,50,0,183.26,24856,499991,0.27,135.63,2863.89,3664.65,3658.71,3662.32,3663.82,3826.76,3650.46,3982.85,345.49,339.15,340.06,340.63,505.49,6.68,6.66,6.85,6.87,6.89,0.0,244.8,0.0,,
8,1000,500,0,8,1000,494,50,50,0,30.44,24702,49991,1.64,811.46,2453.66,4493.9,4357.4,5510.33,5510.58,5510.84,3125.48,5510.86,363.26,184.57,1339.04,1339.19,1340.65,8.36,8.44,8.73,8.75,8.9,0.0,244.8,0.0,,
8,10000,500,0,8,10000,496,50,50,0,48.77,24810,499989,1.03,508.69,10760.08,7306.29,7231.16,7802.91,8291.81,8786.76,4984.89,8913.19,1230.75,1253.29,1470.67,2324.24,2759.75,12.25,12.22,13.54,13.6,13.96,0.0,244.8,0.0,,
