requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,496,50,50,0,186.73,24797,49989,0.27,132.8,400.5,3734.11,3606.55,4965.16,5093.83,5329.69,2330.27,5432.49,59.26,58.49,59.91,60.11,78.48,7.41,7.02,9.87,10.01,10.57,0.0,365.0,0.0,2.71,44.0
1,10000,500,0,1,10000,496,50,50,0,220.0,24797,499991,0.23,112.71,2385.38,4399.43,4239.65,5956.64,6237.61,6673.3,1911.77,6792.12,374.2,368.32,370.92,371.77,539.33,8.12,7.77,10.74,11.67,12.8,0.0,365.0,0.0,2.71,44.0
8,1000,500,0,8,1000,498,50,50,0,133.02,24875,49995,0.38,187.0,562.85,20026.0,20318.59,25312.98,27033.3,27490.34,1939.04,27748.57,17416.32,17869.47,22509.47,23854.35,24605.27,5.25,5.1,7.45,7.96,8.9,0.0,365.0,0.0,2.71,44.0
8,10000,500,0,8,10000,498,50,50,0,179.95,24920,499996,0.28,138.49,2917.06,26799.94,27228.54,32527.42,33223.37,33955.41,4561.19,34056.4,23557.27,24407.66,29048.0,30025.86,31303.87,6.51,6.58,8.9,9.62,11.8,0.0,365.0,0.0,2.71,44.0
