requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,496,50,50,0,139.11,24805,49990,0.36,178.32,537.68,2781.68,2783.1,2784.88,2785.18,2803.18,2775.21,2820.41,54.7,54.24,54.92,55.2,72.44,5.5,5.5,5.64,5.66,5.72,0.0,154.8,0.0,,
1,10000,500,0,1,10000,499,50,50,0,183.65,24972,499995,0.27,135.98,2858.57,3672.35,3666.51,3668.93,3670.29,3834.36,3656.77,3991.46,346.62,340.03,341.83,342.03,507.0,6.66,6.65,6.82,6.86,6.93,0.0,154.8,0.0,,
8,1000,500,0,8,1000,497,50,50,0,138.71,24838,49994,0.36,179.06,539.47,20640.79,22176.53,22191.46,22207.17,22246.91,2832.94,22275.79,17915.4,19452.17,19467.17,19482.59,19522.05,5.49,5.48,5.59,5.62,5.71,0.0,154.8,0.0,,
8,10000,500,0,8,10000,497,50,50,0,183.08,24827,499988,0.27,135.61,2866.57,27240.81,29226.67,29235.72,29236.42,29431.27,4056.22,29617.25,23913.91,25898.8,25908.07,25908.73,26104.61,6.7,6.69,6.86,6.9,6.94,0.0,154.8,0.0,,
