requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,496,50,50,0,206.49,24801,49993,0.24,120.11,362.22,4129.31,4181.47,4297.99,4310.94,4334.26,3736.68,4343.74,54.49,53.81,55.71,55.82,73.88,8.21,8.18,8.54,8.65,8.74,0.0,244.9,0.0,1.66,13.3
1,10000,500,0,1,10000,498,50,50,0,255.51,24907,499997,0.2,97.48,2054.3,5109.69,5095.85,5271.13,5308.54,5587.3,4756.29,5697.38,366.77,347.72,348.49,350.01,832.77,9.52,9.51,9.8,9.96,10.13,0.0,244.9,0.0,1.66,13.3
8,1000,500,0,8,1000,499,50,50,0,42.09,24947,49995,1.19,592.77,1780.72,6204.75,6275.78,6503.04,6565.72,6601.68,4586.8,6609.11,87.32,58.92,212.06,213.94,215.76,12.26,12.31,12.97,13.09,13.25,0.0,244.9,0.0,1.66,13.3
8,10000,500,0,8,10000,498,50,50,0,67.62,24914,499998,0.74,368.46,7763.08,10215.6,9888.19,12053.45,13213.66,14770.3,6265.14,14993.04,749.1,375.72,1445.06,2330.38,3404.28,19.0,18.92,21.52,23.17,26.65,0.0,244.9,0.0,1.66,13.3
