requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,497,50,50,0,152.08,24841,49991,0.33,163.35,492.07,3041.06,3040.58,3041.73,3041.91,3057.66,3037.62,3072.51,52.35,51.89,52.71,53.03,67.38,6.02,6.0,6.16,6.24,6.35,0.0,144.8,0.0,,
1,10000,500,0,1,10000,495,50,50,0,199.05,24735,499990,0.25,124.27,2636.17,3980.38,3974.47,3977.16,3978.78,4139.6,3965.73,4291.45,369.75,363.47,365.24,365.78,526.23,7.3,7.31,7.46,7.53,7.59,0.0,144.8,0.0,,
8,1000,500,0,8,1000,496,50,50,0,151.86,24799,49996,0.33,163.3,492.52,22597.1,24287.17,24292.8,24294.78,24321.99,3094.99,24347.99,19607.51,21297.81,21303.49,21305.39,21332.46,6.03,6.02,6.17,6.25,6.32,0.0,144.8,0.0,,
8,10000,500,0,8,10000,498,50,50,0,197.79,24913,499993,0.25,125.96,2653.89,29430.66,31583.8,31596.12,31602.29,31784.03,4338.74,31957.19,25834.02,27987.16,28000.23,28002.91,28184.92,7.22,7.18,7.42,7.48,7.56,0.0,144.8,0.0,,
