requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,497,50,50,0,139.07,24860,49993,0.36,178.76,538.25,2780.87,2781.73,2784.17,2785.6,2804.27,2773.75,2821.15,55.21,54.58,56.04,56.43,73.86,5.48,5.48,5.59,5.62,5.73,0.0,184.8,0.0,,
1,10000,500,0,1,10000,499,50,50,0,183.43,24929,499991,0.27,135.9,2861.66,3668.05,3662.13,3665.62,3666.76,3829.5,3652.69,3985.34,345.88,339.24,341.13,341.99,505.35,6.67,6.67,6.81,6.83,6.89,0.0,184.8,0.0,,
8,1000,500,0,8,1000,497,50,50,0,30.99,24864,49992,1.61,802.27,2415.33,4583.92,4349.4,5538.3,5538.61,5538.83,3112.0,5538.85,473.17,202.22,1383.53,1383.67,1384.76,8.27,8.37,8.51,8.61,8.74,0.0,184.8,0.0,,
8,10000,500,0,8,10000,498,50,50,0,48.05,24875,499990,1.04,517.71,10923.66,7220.14,7219.26,7617.8,8291.77,8787.21,4288.89,8913.3,1203.37,1250.09,1467.79,2322.19,2758.14,12.1,12.11,13.13,13.3,13.44,0.0,184.8,0.0,,
