requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,497,50,50,0,147.33,24853,49993,0.34,168.69,508.03,2946.06,2947.91,2960.51,2968.86,2981.53,2916.87,2985.76,57.14,56.59,57.8,58.15,75.23,5.81,5.81,5.95,5.96,6.03,0.0,118.7,,,
1,10000,500,0,1,10000,497,50,50,0,190.5,24828,499986,0.26,130.33,2754.92,3809.41,3804.65,3822.82,3823.45,3993.98,3754.39,4151.88,443.4,436.27,440.47,440.75,607.96,6.78,6.77,6.94,6.96,7.09,0.0,118.7,,,
8,1000,500,0,8,1000,498,50,50,0,30.86,24923,49994,1.62,807.58,2427.52,4529.68,4583.92,4624.57,4625.76,4626.44,3385.41,4626.46,181.26,189.78,219.44,221.19,222.59,8.73,8.79,9.03,9.11,9.21,0.0,118.7,,,
8,10000,500,0,8,10000,496,50,50,0,57.63,24784,499989,0.87,430.08,9106.41,8636.22,8747.38,9007.84,9023.64,9035.77,4813.34,9038.94,2445.78,2184.72,3880.51,3882.54,4037.17,12.5,12.07,15.56,15.89,16.05,0.0,118.7,,,
