requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,495,50,50,0,144.55,24773,49992,0.35,171.38,517.23,2890.53,2889.96,2891.78,2892.07,2910.39,2882.08,2927.32,53.05,52.43,53.75,54.32,70.57,5.73,5.71,5.91,5.94,5.97,0.0,184.8,0.0,,
1,10000,500,0,1,10000,498,50,50,0,188.43,24909,499997,0.27,132.19,2785.63,3768.09,3761.48,3764.64,3765.0,3928.95,3757.8,4086.38,334.36,327.85,329.08,329.37,494.16,6.89,6.88,7.08,7.09,7.21,0.0,184.8,0.0,,
8,1000,500,0,8,1000,497,50,50,0,31.38,24870,49995,1.59,792.54,2385.73,4628.24,4467.64,5787.1,5791.15,5791.95,3260.25,5792.17,381.95,181.63,1493.55,1540.87,1542.27,8.54,8.62,8.81,8.83,9.03,0.0,184.8,0.0,,
8,10000,500,0,8,10000,496,50,50,0,48.68,24793,499991,1.03,509.32,10780.56,7312.22,7316.88,7701.82,8243.89,8831.27,4331.68,8978.86,1137.12,1224.82,1417.76,2158.7,2712.6,12.45,12.43,13.61,13.8,13.89,0.0,184.8,0.0,,
