requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,497,50,50,0,138.95,24839,49994,0.36,178.76,538.54,2778.63,2775.68,2784.21,2784.78,2800.15,2772.64,2814.12,54.14,53.59,55.02,55.4,71.07,5.49,5.46,5.62,5.68,5.77,0.0,154.8,0.0,,
1,10000,500,0,1,10000,495,50,50,0,183.55,24737,499990,0.27,134.77,2858.77,3670.4,3663.97,3666.99,3667.4,3829.87,3651.8,3982.51,344.84,338.42,339.42,340.17,504.27,6.72,6.7,6.87,6.91,6.94,0.0,154.8,0.0,,
8,1000,500,0,8,1000,496,50,50,0,138.54,24802,49991,0.36,179.03,539.87,20613.31,22153.71,22161.26,22161.69,22188.08,2828.47,22211.85,17890.21,19430.67,19437.89,19438.89,19465.41,5.49,5.47,5.62,5.63,5.69,0.0,154.8,0.0,,
8,10000,500,0,8,10000,497,50,50,0,182.89,24860,499990,0.27,135.93,2869.7,27213.97,29199.47,29207.38,29208.24,29398.72,4038.12,29580.07,23889.78,25875.57,25883.51,25884.48,26074.96,6.69,6.65,6.84,6.86,6.93,0.0,154.8,0.0,,
