requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,497,50,50,0,180.41,24862,49993,0.28,137.81,414.91,3607.77,3706.65,4962.96,4975.94,5202.35,926.15,5268.32,60.33,59.44,61.08,61.25,79.76,7.12,7.23,9.75,9.9,10.2,0.0,244.9,0.0,2.14,39.9
1,10000,500,0,1,10000,497,50,50,0,223.17,24862,499994,0.22,111.41,2351.86,4462.74,4494.61,6086.71,6343.44,6751.71,1960.45,6785.45,375.12,369.18,372.41,373.25,538.22,8.22,8.17,11.49,12.11,12.84,0.0,244.9,0.0,2.14,39.9
8,1000,500,0,8,1000,498,50,50,0,115.48,24885,49994,0.43,215.49,648.4,17067.1,18261.4,21255.63,21392.01,21923.34,2711.0,22151.56,14809.09,15904.57,18341.48,18946.79,19740.31,4.54,4.52,6.46,7.13,7.32,0.0,244.9,0.0,2.14,39.9
8,10000,500,0,8,10000,496,50,50,0,183.73,24807,499994,0.27,135.02,2856.35,27357.25,28807.01,32411.71,34530.46,36024.42,4397.24,36753.66,24037.67,25187.11,28885.65,30449.09,33555.17,6.69,6.83,9.78,10.47,11.23,0.0,244.9,0.0,2.14,39.9
