requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,496,50,50,0,139.82,24810,49994,0.36,177.44,535.0,2795.96,2782.23,2783.94,2784.58,3161.16,2773.53,3522.8,67.66,53.1,54.7,55.04,431.29,5.5,5.51,5.62,5.64,5.7,0.0,154.8,0.0,,
1,10000,500,0,1,10000,498,50,50,0,183.55,24875,499994,0.27,135.53,2859.62,3670.32,3664.43,3666.75,3666.92,3828.89,3655.27,3984.04,344.77,338.25,339.83,340.24,502.54,6.69,6.66,6.85,6.88,6.96,0.0,154.8,0.0,,
8,1000,500,0,8,1000,499,50,50,0,138.63,24969,49995,0.36,180.11,540.74,20628.13,22164.36,22178.5,22181.4,22218.97,2831.26,22248.16,17903.58,19439.93,19453.96,19456.24,19494.72,5.46,5.43,5.61,5.66,5.73,0.0,154.8,0.0,,
8,10000,500,0,8,10000,498,50,50,0,182.95,24889,499993,0.27,136.04,2869.0,27221.26,29210.6,29221.04,29223.84,29397.81,4019.02,29563.02,23895.8,25885.04,25894.48,25897.0,26071.29,6.68,6.65,6.86,6.91,6.93,0.0,154.8,0.0,,
