requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,498,50,50,0,132.05,24893,49991,0.38,188.52,567.1,2640.46,2625.85,2811.16,2872.19,2954.19,2359.69,2971.41,65.83,65.28,66.77,67.19,85.03,5.17,5.11,5.5,5.62,5.74,0.0,184.8,0.0,1.57,19.0
1,10000,500,0,1,10000,497,50,50,0,294.29,24863,499991,0.17,84.49,1783.49,5885.1,5893.79,6103.57,6158.63,6299.76,5409.49,6399.82,410.67,403.86,407.3,408.02,576.94,11.01,11.02,11.4,11.57,11.89,0.0,184.8,0.0,1.57,19.0
8,1000,500,0,8,1000,497,50,50,0,129.86,24857,49989,0.39,191.42,576.37,19317.55,20730.88,21030.79,21216.78,21280.11,2581.22,21289.49,16780.67,18178.76,18460.24,18511.41,18845.44,5.1,5.07,5.51,5.6,5.69,0.0,184.8,0.0,1.57,19.0
8,10000,500,0,8,10000,495,50,50,0,294.48,24730,499992,0.17,83.98,1781.86,43878.8,47120.07,47841.83,47988.05,48198.13,5816.35,48237.47,38386.96,41540.51,42289.26,42591.31,42789.7,11.1,11.05,11.96,12.06,12.18,0.0,184.8,0.0,1.57,19.0
