requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,499,50,50,0,121.06,24933,49996,0.41,205.96,618.96,2420.64,2416.37,2559.4,2576.76,2698.35,2187.64,2789.04,69.38,68.72,70.6,70.85,87.83,4.72,4.71,4.99,5.05,5.29,0.0,204.8,0.0,1.44,14.8
1,10000,500,0,1,10000,497,50,50,0,273.71,24831,499991,0.18,90.72,1917.46,5473.54,5473.58,5780.44,5897.25,5961.8,4880.5,5993.06,401.21,381.62,384.44,391.68,890.7,10.21,10.2,10.8,11.03,11.27,0.0,204.8,0.0,1.44,14.8
8,1000,500,0,8,1000,498,50,50,0,118.48,24875,49988,0.42,209.96,631.89,17587.56,18803.08,19245.13,19320.08,19382.92,2436.48,19411.9,15281.54,16500.15,16922.19,16990.4,17092.17,4.63,4.65,4.95,4.99,5.06,0.0,204.8,0.0,1.44,14.8
8,10000,500,0,8,10000,499,50,50,0,272.99,24929,499995,0.18,91.32,1922.87,40637.75,43496.54,44408.15,44604.4,44695.62,5754.98,44716.28,35555.44,38390.06,39162.68,39417.26,39683.03,10.19,10.25,10.6,10.75,10.83,0.0,204.8,0.0,1.44,14.8
