requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,497,50,50,0,142.31,24839,49992,0.35,174.54,525.81,2845.84,2845.14,2846.32,2847.07,2865.48,2842.8,2882.13,55.84,55.27,56.19,57.06,73.8,5.62,5.62,5.72,5.75,5.79,0.0,194.8,0.0,,
1,10000,500,0,1,10000,497,50,50,0,184.24,24852,499992,0.27,134.89,2848.66,3684.27,3678.78,3680.98,3682.21,3849.66,3669.18,4008.35,390.9,384.24,386.42,386.81,551.49,6.63,6.63,6.75,6.77,6.86,0.0,194.8,0.0,,
8,1000,500,0,8,1000,498,50,50,0,30.02,24923,49994,1.67,830.11,2495.26,4416.09,4337.39,5087.29,5092.13,5092.87,3219.53,5092.91,288.06,186.02,863.1,910.02,911.47,8.28,8.35,8.59,8.66,8.76,0.0,194.8,0.0,,
8,10000,500,0,8,10000,498,50,50,0,50.88,24919,499995,0.98,489.78,10317.18,7644.54,7571.07,8116.02,8734.51,9300.52,5038.01,9445.46,1384.65,1429.71,1615.1,2581.52,3086.1,12.56,12.57,13.71,13.87,14.17,0.0,194.8,0.0,,
