requested_concurrency,requested_prompt_tokens,requested_output_tokens,prompt_cache_max_len,concurrency,prompt_tokens_avg,output_tokens_avg,num_requests,successful,failed,wall_time_s,total_output_tokens,total_prompt_tokens,throughput_req_per_sec,throughput_tok_per_sec,throughput_total_tok_per_s,avg_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_ttft_ms,ttft_p50_ms,p90_ttft_ms,p95_ttft_ms,ttft_p99_ms,avg_tpot_ms,itl_p50_ms,p90_tpot_ms,p95_tpot_ms,itl_p99_ms,peak_memory_gb,startup_sec,prefix_cache_hit_pct,spec_accept_length,spec_accept_rate_pct
1,1000,500,0,1,1000,497,50,50,0,151.93,24834,49992,0.33,163.45,492.49,3038.23,3037.37,3038.74,3039.15,3058.55,3035.28,3077.03,52.04,51.27,52.17,52.71,70.73,6.01,6.0,6.14,6.18,6.3,0.0,174.8,0.0,,
1,10000,500,0,1,10000,495,50,50,0,199.15,24758,499990,0.25,124.32,2634.96,3982.38,3975.46,3980.4,3982.34,4152.2,3969.74,4313.25,371.25,364.75,366.24,366.71,535.1,7.3,7.3,7.5,7.53,7.61,0.0,174.8,0.0,,
8,1000,500,0,8,1000,494,50,50,0,36.49,24725,49990,1.37,677.58,2047.53,5406.06,5455.25,5622.5,5626.2,5627.21,3591.02,5627.46,186.64,199.61,208.12,247.49,248.94,10.56,10.71,10.97,11.03,11.24,0.0,174.8,0.0,,
8,10000,500,0,8,10000,496,50,50,0,55.84,24800,499984,0.9,444.1,9397.35,8407.31,8452.4,8763.59,9456.32,9983.07,4816.79,10118.73,1272.97,1340.77,1524.61,2434.55,2919.98,14.39,14.5,15.69,15.86,16.22,0.0,174.8,0.0,,
